啊	a_
患难之交	hnvj
海内外	hnwd
很难想象	hnxx
患难与共	hnyg
花鸟鱼虫	hnyi
哈尼族	hnzu
还能怎样	hnzy
河南大学	hndx
华南师范大学	hnux
火把	hoba
火爆	hobc
货币	hobi
伙伴	hobj
火并	hobk
货舱	hoch
豁达	hoda
活到	hodc
获得	hode
活动	hods
火堆	hodv
货单	hodj
伙房	hofh
活佛	hofo
祸福	hofu
活该	hogd
祸根	hogf
火光	hogl
火锅	hogo
火罐	hogr
货柜	hogv
祸害	hohd
活活	hoho
祸患	hohr
火红	hohs
火狐	hohu
火花	hohx
火候	hohz
火柴	hoid
火车	hoie
火场	hoih
货船	hoir
伙计	hoji
火警	hojk
获奖	hojl
火箭	hojm
活结	hojp
获救	hojq
火炬	hoju
货架	hojx
火坑	hokg
货款	hokr
活口	hokz
火辣	hola
活了	hole
活力	holi
活络	holo
霍乱	holr
火龙	hols
活路	holu
货轮	holy
活埋	homd
活命	homk
豁免	homm
火苗	homn
火鸟	honn
货品	hopb
火炮	hopc
火盆	hopf
获批	hopi
活泼	hopo
获取	hoqu
火气	hoqi
火枪	hoql
火球	hoqq
火热	hore
活人	horf
豁然	horj
火速	hosu
活塞	hosd
货色	hose
火腿	hotv
货梯	hoti
货摊	hotj
祸胎	hotd
伙同	hots
火头	hotz
火势	hou_
火烧	houc
火舌	houe
获胜	houg
伙食	houi
火山	houj
祸水	houv
祸首	houz
活着	hov_
或者	hove
获知	hovi
活捉	hovo
火种	hovs
货主	hovu
获准	hovy
货物	howu
或许	hoxu
获悉	hoxi
火星	hoxk
藿香	hoxl
火线	hoxm
获选	hoxr
活血	hoxt
火药	hoyc
活页	hoye
货样	hoyh
获益	hoyi
火焰	hoyj
货源	hoyr
活跃	hoyt
货运	hoyy
或有	hoyz
火灾	hozd
或则	hoze
获赠	hozg
火葬	hozh
活字	hozi
和平鸽	hpge
狐朋狗友	hpgy
狐朋狗党	hpgd
和平共处	hpgi
和平共处五项原则	hpgz
呼朋唤友	hphy
黄浦江	hpjl
黄袍加身	hpju
鸿篇巨制	hpjv
黄埔军校	hpjx
很漂亮	hpll
胡拼乱凑	hplc
海平面	hpmm
红扑扑	hppu
和盘托出	hpti
好朋友	hpyz
呼朋引伴	hpyb
寒气逼人	hqbr
何其多	hqdo
何其毒也	hqdy
很奇怪	hqgk
皇亲国戚	hqgq
合情合理	hqhl
或轻或重	hqhv
好奇害死猫	hqhm
何去何从	hqhc
很清楚	hqiu
浩气长存	hqic
划清界限	hqjx
回去了	hqle
红墙绿瓦	hqlw
含情脉脉	hqmm
魂牵梦系	hqmx
魂牵梦绕	hqmr
魂牵梦萦	hqmy
花钱买罪受	hqmu
黑漆漆	hqqi
黑黢黢	hqqu
换气扇	hquj
和气生财	hquc
横七竖八	hqub
荷枪实弹	hqud
后起之秀	hqvx
害群之马	hqvm
豪情壮志	hqvv
豪情万丈	hqwv
好奇心	hqxb
祸起萧墙	hqxq
寒气袭人	hqxr
花拳绣腿	hqxt
花前月下	hqyx
虎躯一震	hqyv
回去再说	hqzu
黄雀在后	hqzh
荒腔走板	hqzb
花旗银行	hqyh
环保	hrbc
还本	hrbf
诲人不倦	hrbj
患病	hrbk
害人不浅	hrbq
缓步	hrbu
浑然不知	hrbv
好人不长命	hrbm
活人不能让尿憋死	hrbs
缓存	hrcy
环岛	hrdc
还贷	hrdd
换挡	hrdh
换掉	hrdn
欢度	hrdu
恍然大悟	hrdw
焕发	hrfa
换肤	hrfu
换防	hrfh
还给	hrgw
换个	hrge
换岗	hrgh
缓过	hrgo
宦官	hrgr
花入各眼	hrgy
恨入骨髓	hrgs
豁然贯通	hrgt
环顾	hrgu
缓和	hrhe
换行	hrhh
换货	hrho
害人害己	hrhj
缓缓	hrhr
欢呼	hrhu
换回	hrhv
幻化	hrhx
还魂	hrhy
换车	hrie
换成	hrig
欢畅	hrih
后人乘凉	hril
缓冲	hris
还击	hrji
环境	hrjk
环节	hrjp
缓解	hrjp2
幻觉	hrjt
欢聚	hrju
还价	hrjx
欢快	hrkk
豁然开朗	hrkl
还款	hrkr
还口	hrkz
换了	hrl_
换来	hrld
欢乐	hrle
还礼	hrli
环流	hrlq
环路	hrlu
缓慢	hrmj
幻灭	hrmp
患难	hrnj
好人难做	hrnz
缓坡	hrpo
唤起	hrqi
欢庆	hrqk
还钱	hrqm
环球	hrqq
换取	hrqu
环绕	hrrc
换人	hrrf
焕然	hrrj
恍然若失	hrru
换算	hrsr
涣散	hrsj
欢送	hrss
还俗	hrsu
欢腾	hrtg
垸	hrte
浑然天成	hrti
欢跳	hrtn
骇人听闻	hrtw
换手	hru_
换上	hruh
环视	hrui
环山	hruj
幻术	hruu
还手	hruz
还债	hrvd
貆	hrvg
患者	hrve
还账	hrvh
环状	hrvl
浩然之气	hrvq
害人之心不可有	hrvy
害人之心不可有，防人之心不可无	hrvw
浑然无知	hrwv
换位	hrww
欢心	hrxb
欢喜	hrxi
唤醒	hrxk
幻想	hrxl
环线	hrxm
欢笑	hrxn
换血	hrxt
换下	hrxx
浣熊	hrxs
换牙	hrya
换页	hrye
豢养	hryh
欢颜	hryj
欢迎	hryk
花容月貌	hrym
虎入羊群	hryq
还原	hryr
浑然一体	hryt
欢愉	hryu
焕然一新	hryx
患有	hryz
好人有好报	hryb
还嘴	hrzv
换组	hrzu
幻听	hrtk
红包	hsbc
好死不如赖活	hsbh
红笔	hsbi
红斑	hsbj
红遍	hsbm
烘焙	hsbw
宏大	hsda
红灯	hsdg
红底	hsdi
红蛋	hsdj
轰动	hsds
红豆	hsdz
红粉	hsff
洪峰	hsfg
洪福	hsfu
烘干	hsgj
红光	hsgl
宏观	hsgr
鸿沟	hsgz
黑塞哥维那	hsgn
洪荒	hshl
红火	hsho
红红	hshs
洪湖	hshu
红花	hshx
红茶	hsia
红尘	hsif
哄传	hsir
红酒	hsjq
红椒	hsjn
红军	hsjy
烘烤	hskc
哈萨克	hske
虹口	hskz
哈萨克斯坦	hskt
洪涝	hslc
红了	hsle
红利	hsli
洪亮	hsll
红脸	hslm
洪流	hslq
轰隆	hsls
胡思乱想	hslx
宏论	hsly
红楼	hslz
鸿毛	hsmc
鸿蒙	hsmg
轰鸣	hsmk
红木	hsmu
红梅	hsmw
红娘	hsnl
晦涩难懂	hsnd
哄骗	hspm
红牌	hspd
红盘	hspj
宏碁	hsq_
红旗	hsqi
横扫千军	hsqj
哄抢	hsql
红人	hsrf
红日	hsri
轰然	hsrj
鸿儒	hsru
红润	hsry
红色	hsse
宏图	hst_
红桃	hstc
哄抬	hstd
红糖	hsth
烘托	hsto
红土	hstu
洪水	hsuv
红烧	hsuc
红参	hsuf
红薯	hsuu
活色生香	hsux
轰炸	hsva
哄着	hsve
互诉衷肠	hsvi
红妆	hsvl
红肿	hsvs
好色之徒	hsvt
红烛	hsvu
红轴	hsvz
宏伟	hsww
玒	hswg
红外	hswd
红心	hsxb
红杏	hsxk
红袖	hsxq
红线	hsxm
哄笑	hsxn
红叶	hsxp
红学	hsxt
红霞	hsxx
红叶	hsye
红衣	hsyi
弘扬	hsyh
红颜	hsyj
鸿运	hsyy
红枣	hszc
洪灾	hszd
红字	hszi
挥洒自如	hszr
换汤不换药	htb_
恨铁不成钢	htbg
皇天不负有心人	htbr
横挑鼻子竖挑眼	htby
回头草	htcc
哄堂大笑	htdx
撼天动地	htdd
嚎啕大哭	htdk
宏图大志	htdv
黑天鹅	htee
回天乏术	htfu
黄土高原	htgy
皇太后	hthz
昏天黑地	hthd
虎头虎脑	hthn
皇天后土	htht
火腿肠	htih
回头见	htjm
花团锦簇	htjc
花天酒地	htjd
航天局	htju
回趟家	htjx
回头客	htke
憨态可掬	htkj
回头看看	htkk
回头率	htlv
滑铁卢	htlu
后台老板	htlb
呼天抢地	htqd
红彤彤	htts
活脱脱	htto
灰头土脸	httl
火头上	htuh
回头是岸	htua
虎头蛇尾	htuw
回天之力	htvl
昏头转向	htvx
化痰止咳	htvk
红头文件	htwj
回天无力	htwl
欢天喜地	htxd
后天下之乐而乐	htxl
滑天下之大稽	htxj
回头一笑百媚生	hty_
糊涂一时	htyu
互通有无	htyw
皇太子	htzi
回头再说	htzu
互爱	huai
湖北	hubw
还是不错	hubc
胡说八道	hubd
昏睡百年	hubn
海水不可斗量	hubl
湖边	hubm
互补	hubu
互搏	hubo
湖滨	hubb
虎视眈眈	hudd
虎胆	hudj
护垫	hudm
蝴蝶	hudp
护短	hudr
互动	huds
弧度	hudu
华盛顿	hudy
忽而	huer
护法	hufa
互访	hufh
护肤	hufu
胡搞	hugc
壶盖	hugd
护航	huhh
呼喊	huhj
火烧火燎	huhl
好声好气	huhq
呼唤	huhr
何时何地	huhd
绘声绘色	huhs
互惠	huhv
胡话	huhx
绘声绘影	huhy
回收期	huqi
皓首穷经	huqj
何事秋风悲画扇	huqu
胡扯	huie
互斥	huii
好事成双	huiu
胡吹	huiv
狐臭	huiz
后视镜	huj_
呼叫	hujn
户籍	huji
湖景	hujk
呼救	hujq
护驾	hujx
火上浇油	hujy
户口	hukz
黄鼠狼	hul_
黄鼠狼给鸡拜年	huln
呼啦	hula
和事佬	hulc
胡来	huld
虎狼	hulh
狐狸	huli
护栏	hulj
互联	hulm
胡乱	hulr
忽略	hult
葫芦	hulu
囫囵	huly
换手率	hulv
户名	humk
虎门	humf
火烧眉毛	humm
狐媚	humw
混水摸鱼	humy
毁尸灭迹	humj
胡闹	hunc
湖南	hunj
糊弄	huns
互派	hupd
湖畔	hupj
湖泊	hupo
横竖撇点折	hupv
很少人	hur_
互让	hurh
忽然	hurj
鼾声如雷	hurl
护送	huss
猢狲	husy
糊涂	hutu
胡桃	hutc
互通	huts
画蛇添足	hutz
呼哨	huuc
浑身是胆	huud
护身	huuf
呼声	huug
护士	huui
忽闪	huuj
海市蜃楼	huul
海誓山盟	huum
胡说	huuo
户数	huuu
湖水	huuv
浑身上下	huux
护照	huvc
护着	huve
湖中	huvs
还手之力	huvl
横生枝节	huvj
好事之徒	huvt
后事之师	huvu
胡诌	huvz
户外	huwd
忽闻	huwf
回首往事	huwu
护卫	huww
互信	huxb
呼吸	huxi
户型	huxk
互相	huxl
弧线	huxm
呼啸	huxn
虎穴	huxt
胡须	huxu
欢声笑语	huxy
虎牙	huya
狐疑	huyi
护眼	huyj
呼应	huyk
呼吁	huyu
忽悠	huyz
很少有人	huyr
护养	huyh
荒山野岭	huyl
活受罪	huzv
胡子	huzi
灰暗	hvan
汇报	hvbc
回报	hvb_
回拨	hvbo
灰白	hvbd
毁谤	hvbh
回避	hvbi
悔之不及	hvbj
回禀	hvbk
横征暴敛	hvbl
汇编	hvbm
徽标	hvbn
挥之不去	hvbq
会餐	hvcj
回踩	hvcd
荟萃	hvcv
回答	hvda
回到	hvdc
回荡	hvdh
回单	hvdj
回电	hvdm
毁掉	hvdn
挥动	hvds
灰度	hvdu
汇兑	hvdv
挥发	hvfa
汇丰	hvfg
回返	hvfj
恢复	hvfu
会费	hvfw
回国	hvgo
会馆	hvgr
回顾	hvgu
回归	hvgv
回购	hvgz
回滚	hvgy
和衷共济	hvgj
挥毫	hvhc
回合	hvhe
悔恨	hvhf
回航	hvhh
毁坏	hvhk
后知后觉	hvhj
辉煌	hvhl
挥霍	hvho
恢弘	hvhs
会徽	hvhv
回话	hvhx
悔婚	hvhy
会后	hvhz
回潮	hvic
回车	hvie
灰尘	hvif
回程	hvig
会场	hvih
挥斥	hvii
蛔虫	hvis
回春	hviy
回抽	hviz
灰烬	hvjb
汇集	hvji
回敬	hvjk
会见	hvjm
汇缴	hvjn
呼之即来	hvjl
挥之即去	hvjq
回绝	hvjt
汇聚	hvju
回家	hvjx
会考	hvkc
会客	hvke
汇款	hvkr
回馈	hvkv
回扣	hvkz
回来	hvld
毁了	hvle
回廊	hvlh
花枝乱颤	hvli
回落	hvlo
回流	hvlq
回笼	hvls
贿赂	hvlu
汇率	hvlv
厚着脸皮	hvlp
蕙质兰心	hvlx
挥泪	hvlw
回民	hvmb
会面	hvmm
毁灭	hvmp
回眸	hvmz
回暖	hvnr
化妆品	hvpb
袆	hvpw
汇票	hvpn
惠普	hvpu
回去	hvqu
晦气	hvqi
火中取栗	hvql
会签	hvqm
挥拳	hvqr
回绕	hvrc
恨之入骨	hvrg
毁容	hvrs
汇入	hvru
挥洒	hvsa
灰色	hvse
会所	hvso
汇算	hvsr
回溯	hvsu
毁损	hvsy
回头	hvtz
恚	hvtx
会堂	hvth
会谈	hvtj
回天	hvtm
回调	hvtn
回帖	hvtp
会同	hvts
绘图	hvtu
会说	hvuo
会审	hvuf
回升	hvug
会商	hvuh
回事	hvui
回删	hvuj
回收	hvuz
徽章	hvv_
会诊	hvvf
会长	hvvh
回执	hvvi
会展	hvvj
回转	hvvr
花枝招展	hvvv
惠州	hvvz
会展中心	hvvx
回稳	hvwf
回望	hvwh
化整为零	hvwl
挥舞	hvwu
回味	hvww
会玩	hvwj
灰心	hvxb
彗星	hvxk
回想	hvxl
灰线	hvxm
诙谐	hvxp
回旋	hvxr
灰熊	hvxs
麾下	hvxx
呼之欲出	hvy2
回音	hvyb
会议	hvyi
汇演	hvyj
回应	hvyk
会员	hvyr
会用	hvys
毁约	hvyt
好整以暇	hvyx
会有	hvyz
汇总	hvzs
回赠	hvzg
汗珠子	hvzi
回族	hvzu
回嘴	hvzv
黑暗	hwan
黑白	hwbd
黑帮	hwbh
黑板	hwbj
毫无保留	hwbl
毫无办法	hwbf
黑洞	hwds
黑道	hwdc
黑底	hwdi
毫无二致	hwev
黑发	hwfa
和为贵	hwg_
黑锅	hwgo
黑鬼	hwgv
毫无关系	hwgx
毫无顾忌	hwgj
嘿嘿	hwhw
黑户	hwhu
黑话	hwhx
黑车	hwie
好望角	hwjn
黑客	hwke
好无聊	hwln
黑了	hwle
黑亮	hwll
黑脸	hwlm
后无来者	hwlv
毫无理由	hwly
黑马	hwma
黑猫	hwmc
黑幕	hwmu
黑莓	hwmw
哈瓦那	hwna
黑奴	hwnu
黑屏	hwpk
核武器	hwq_
黑气	hwqi
黑枪	hwql
黑钱	hwqm
黑人	hwrf
好为人师	hwru
荒无人烟	hwry
黑色	hwse
换位思考	hwsk
黑桃	hwtc
黑体	hwti
黑炭	hwtj
黑头	hwtz
黑手	hwuz
黑纱	hwua
黑哨	hwuc
黑市	hwui
黑山	hwuj
黑着	hwve
黑痣	hwvi
黑轴	hwvz
化外之民	hwvm
黑雾	hwwu
黑窝	hwwo
回味无穷	hwwq
毫无征兆	hwvv
化为乌有	hwwy
红外线	hwx_
黑心	hwxb
黑线	hwxm
嘿咻	hwxq
黑熊	hwxs
画外音	hwyb
黑夜	hwye
互为因果	hwyg
毫无用处	hwyi
黑烟	hwyj
黑影	hwyk
混为一谈	hwyt
毫无疑问	hwyw
毫无意义	hwyy
毫无预兆	hwyv
黑字	hwzi
毫无作用	hwzy
黑土	hwtu
还行吧	hxba
画报	hxbc
花白	hxbd
喝西北风	hxbf
画笔	hxbi
花瓣	hxbj
滑冰	hxbk
花边	hxbm
华表	hxbn
划拨	hxbo
话别	hxbp
画布	hxbu
华北	hxbw
花草	hxcc
画册	hxce
花丛	hxcs
花菜	hxcd
花店	hxdm
韩信点兵	hxdb
好心当成驴肝肺	hxdf
花灯	hxdg
华诞	hxdj
划定	hxdk
花掉	hxdn
花朵	hxdo
化蝶	hxdp
华东	hxds
花儿	hxer
呼啸而来	hxel
花萼	hxee
划分	hxff
画风	hxfg
花房	hxfh
话费	hxf_
花费	hxfw
化学反应	hxfy
画稿	hxgc
滑盖	hxgd
花光	hxgl
划过	hxgo
花冠	hxgr
化工	hxgs
花鼓	hxgu
划归	hxgv
欢欣鼓舞	hxgw
很喜欢	hxh_
化合	hxhe
划痕	hxhf
花环	hxhr
花红	hxhs
花卉	hxhv
画画	hxhx
活血化瘀	hxhy
候选窗	hxil
花茶	hxia
花车	hxie
化成	hxig
花痴	hxii
红杏出墙	hxiq
划船	hxir
画出	hxiu
滑稽	hxji
化境	hxjk
花剑	hxjm
花椒	hxjn
化解	hxjp
含笑九泉	hxjq
画卷	hxjr
话剧	hxju
画家	hxjx
花开	hxkd
画刊	hxkj
划款	hxkr
花魁	hxkv
候选栏	hxl_
哗啦	hxla
花了	hxle
滑溜	hxlq
话唠	hxlc
画廊	hxlh
华丽	hxli
花篮	hxlj
花脸	hxlm
化疗	hxln
滑落	hxlo
虎穴龙潭	hxlt
花蕾	hxlw
滑轮	hxly
花心萝卜	hxlb
花蜜	hxmi
化名	hxmk
画面	hxmm
花木	hxmu
花猫	hxmc
华美	hxmw
好心没好报	hxmb
华南	hxnj
滑腻	hxni
花鸟	hxnn
花香鸟语	hxny
花瓶	hxpk
花炮	hxpc
花盆	hxpf
画皮	hxpi
滑坡	hxpo
含血喷人	hxpr
花圃	hxpu
花旗	hxqi
回想起来	hxql
花钱	hxqm
华侨	hxqn
花圈	hxqr
花去	hxqu
欢欣雀跃	hxqy
华人	hxrf
哗然	hxrj
含辛茹苦	hxrk
花蕊	hxrv
滑润	hxry
划算	hxsr
花洒	hxsa
花色	hxse
灰心丧气	hxsq
花香四溢	hxsy
话题	hxti
花坛	hxtj
华佗	hxto
话筒	hxts
画图	hxtu
横行天下	hxtx
滑头	hxtz
互相推诿	hxtw
话说	hxuo
华沙	hxua
花哨	hxuc
化身	hxuf
花生	hxug
画上	hxuh
化石	hxui
华山	hxuj
花束	hxuu
花招	hxvc
花猪	hxvu
画展	hxvj
画质	hxvi
化妆	hxvl
划转	hxvr
华中	hxvs
回心转意	hxvy
回形针	hxvf
华为	hxw_
化外	hxwd
花纹	hxwf
化为	hxww
话务	hxwu
化险为夷	hxwy
横行无忌	hxwj
滑雪	hxx_
花心	hxxb
好行小惠	hxxh
华西	hxxi
滑行	hxxk
花香	hxxl
化纤	hxxm
花销	hxxn
化学	hxxt
花絮	hxxu
华夏	hxxx
花样	hxyh
画押	hxya
花园	hxyr
话音	hxyb
华裔	hxyi
化验	hxyj
沆瀣一气	hxyq
话语	hxyu
互相依存	hxyc
会心一笑	hxyx
黑匣子	hxzi
化作	hxzo
河西走廊	hxzl
好戏在后头	hxzt
混淆黑白	hxhb
混淆视听	hxut
昏暗	hyan
很一般	hybj
红颜薄命	hybm
花样百出	hybi
怀冤抱屈	hybq
很有必要	hyby
很有帮助	hybv
还有不少	hybu
毁誉参半	hycb
荤菜	hycd
昏倒	hydc
好样的	hyde
混搭	hyda
好勇斗狠	hydh
混蛋	hydj
魂断	hydr
混沌	hydy
很有道理	hydl
和衣而卧	hyew
会议费	hyfw
获益匪浅	hyfq
花样翻新	hyfx
婚否	hyfz
换一个	hyg_
混个	hyge
魂归	hygv
话音刚落	hygl
互有高低	hygd
混合	hyhe
诨号	hyhc
昏黄	hyhl
昏黑	hyhw
昏花	hyhx
诲淫诲盗	hyhd
混混	hyhy
婚后	hyhz
红颜祸水	hyhu
忽远忽近	hyhj
行有行规	hyhg
昏沉	hyif
混成	hyig
鸿雁传书	hyiu
婚介	hyjp
混进	hyjb
何以见得	hyjd
混迹	hyji
火眼金睛	hyjj
婚检	hyjm
含英咀华	hyjh
喊冤叫屈	hyjq
昏厥	hyjt
婚嫁	hyjx
昏君	hyjy
昏聩	hykv
很有可能	hykn
回忆录	hylu
婚礼	hyli
婚恋	hylm
混乱	hylr
胡言乱语	hyly
获益良多	hyld
昏迷	hymi
含饴弄孙	hyns
花样年华	hynh
魂魄	hypo
混拼	hypb
混排	hypd
婚配	hypw
汉语拼音	hypy
黑眼圈	hyqr
后院起火	hyqh
婚期	hyqi
婚庆	hyqk
婚前	hyqm
婚娶	hyqu
花言巧语	hyqy
浑然	hyrj
混入	hyru
好意思	hysi
婚俗	hysu
婚丧	hysh
混同	hyts
馄饨	hyty
婚纱	hyua
浑身	hyuf
婚事	hyui
混双	hyul
昏睡	hyuv
后遗症	hyvg
换言之	hyvi
好一阵子	hyvz
混账	hyvh
混战	hyvj
婚照	hyvc
浑浊	hyvo
豪言壮语	hyvy
厚颜无耻	hywi
荒淫无度	hywd
话音未落	hywl
花冤枉钱	hywq
混淆	hyxn
惛	hyxo
荤腥	hyxk
混响	hyxl
昏眩	hyxr
混血	hyxt
好言相劝	hyxq
婚姻	hyyb
毁于一旦	hyyd
红颜易老	hyyl
婚宴	hyyj
浑圆	hyyr
花园洋房	hyyf
昏庸	hyys
婚约	hyyt
婚育	hyyu
很有意义	hyyy
混杂	hyza
混在	hyzd
旱鸭子	hyzi
厚爱	hzai
后边	hzbm
厚薄	hzbo
候补	hzbu
后备	hzbw
汉贼不两立	hzbl
厚道	hzdc
后代	hzdd
厚度	hzdu
后盾	hzdy
后爹	hzdp
何足道哉	hzdz
厚恩	hzen
涸泽而渔	hzey
后方	hzfh
胡作非为	hzfw
后跟	hzgf
何足挂齿	hzgi
后果	hzgo
喉管	hzgr
后宫	hzgs
合作共赢	hzgy
洪泽湖	hzhu
后悔	hzhv
后患	hzhr
后话	hzhx
厚厚	hzhz
合作伙伴	hzhb
候车	hzie
后尘	hzif
后场	hzih
猴子称大王	hziw
后劲	hzjb
后继	hzji
吼叫	hzjn
喉结	hzjp
侯爵	hzjt
后来	hzld
厚礼	hzli
喉咙	hzls
后路	hzlu
后轮	hzly
合纵连横	hzlh
后妈	hzma
后母	hzmu
后门	hzmf
后面	hzmm
后年	hznm
后脑	hznc
后娘	hznl
候鸟	hznn
后怕	hzpa
后排	hzpd
后勤	hzqb
后期	hzqi
合资企业	hzqy
后人	hzrf
后日	hzri
后嗣	hzsi
后台	hztd
后天	hztm
后腿	hzt_
后退	hztv
后头	hztz
后市	hzu_
喉舌	hzue
后山	hzuj
候审	hzuf
后生	hzug
后世	hzui
后手	hzuz
后者	hzve
后置	hzvi
厚重	hzvs
后缀	hzvv
候诊	hzvf
后传	hzvr
何罪之有	hzvy
厚望	hzwh
后文	hzwf
何足为奇	hzwq
好自为之	hzwv
后卫	hzww
猴戏	hzxi
后效	hzxn
候选	hzxr
后续	hzxu
后院	hzyr
后裔	hzyi
后仰	hzyh
后延	hzyj
厚葬	hzzh
猴子	hzzi
后座	hzzo
活字印刷	hzyu
回复	hf2
閪	hdmx
出	i_
差	ia_
茶	iac_
查	iam_
插	iaf_
察	iab_
刹	iax_
茬	iact
搽	iafm
岔	iabe
嚓	iakx
喳	iak_
叉	iay_
碴	iau_
槎	iamg
杈	iami
汊	iad_
姹	ian_
楂	iamd
衩	iap_
诧	iayq
超	ic_
朝	icu_
炒	ich_
吵	ick_
潮	icd_
抄	icf_
巢	icv_
钞	icj_
焯	ichu
剿	icvd
嘲	icko
晁	ico_
绰	ics_
拆	id_
柴	idv_
差	idy_
钗	idj_
豺	idvc
侪	idr_
车	ie_
扯	iefv
撤	ief_
澈	ied_
彻	iei_
坼	iet_
掣	iep_
陈	if_
臣	ifk_
晨	ifo_
趁	ift_
尘	ifx_
沉	ifd_
辰	ifi_
宸	ifb_
琛	ifw_
称	ifh_
衬	ifp_
嗔	ifkb
忱	ifxv
抻	iff_
谌	ifyv
郴	ifm_
谶	ify_
碜	ifu_
伧	ifr_
成	ig_
城	igt_
程	ighw
呈	igk_
乘	igq_
诚	igy_
承	igv_
称	igh_
撑	igf_
橙	igm_
澄	igd_
盛	igim
晟	igoi
秤	ighp
丞	igl_
骋	igmv
铛	igje
抢	igfv
逞	igz_
惩	igi_
埕	igtw
塍	igot
蛏	igit
瞠	igo_
柽	igmt
铖	igj_
长	ih_
厂	iha_
场	iht_
唱	ihk_
常	ihx_
怅	ihx2
昌	ihoo
尝	ihxs
肠	iho_
畅	ihu_
裳	ihxy
淌	ihdk
偿	ihr_
娼	ihn_
敞	ihxw
倡	ihro
昶	ihy_
嫦	ihnj
苌	ihc_
猖	ihq_
伥	ihri
徜	ihi_
菖	ihco
鲳	ihao
阊	ihm_
吃	ii_
持	iif_
赤	iit_
池	iid_
迟	iiz_
尺	iiu_
痴	iib_
齿	iiv_
驰	iim_
匙	iio_
翅	iiux
耻	iie_
哧	iikd
斥	iip_
弛	iig_
嗤	iik_
叱	iikb
炽	iih_
敕	iiuw
墀	iitn
饬	iiul
豉	iia_
侈	iir_
坻	iitd
笞	iivk
踟	iizk
茌	iic_
啻	iiw_
眙	iiok
柢	iimd
产	ij_
禅	ijp_
缠	ijs_
铲	ijj_
馋	iju_
蝉	iji_
掺	ijfp
颤	ijw_
婵	ijn_
搀	ijf_
蟾	ijik
阐	ijm_
忏	ijx_
单	ijb_
潺	ijd_
孱	ijuz
揣	ik_
踹	ikz_
啜	ikk_
窗	il_
床	ilg_
创	ilr_
闯	ilm_
幢	ilj_
疮	ilb_
怆	ilx_
戳	io_
龊	iov_
啜	iok_
绰	ios_
淖	iod_
辍	ioi_
传	ir_
穿	irb_
船	irv_
川	irp_
串	irl_
喘	irk_
椽	irm_
舛	irx_
钏	irj_
遄	irz_
䏝	iro_
冲	is_
重	isp_
虫	isv_
充	isw_
种	ish_
宠	isb_
崇	ise_
舂	isf_
憧	isx_
忡	isxv
处	iu_
除	iue_
初	iup_
楚	ium_
储	iur_
厨	iui_
触	iud_
畜	iuw_
褚	iupo
雏	iudf
锄	iuj_
杵	iumw
橱	iumc
怵	iux_
础	iuu_
矗	iuuq
滁	iudh
躇	iuz_
黜	iuh_
刍	iude
绌	ius_
搐	iuf_
蹰	iuzc
蜍	iui2
吹	iv_
锤	ivj_
垂	ivp_
捶	ivf_
椎	ivmf
槌	ivm_
炊	ivh_
棰	ivmi
陲	ive_
圌	ivk_
纯	iy_
春	iyf_
唇	iyi_
蠢	iyfi
醇	iyy_
淳	iyd_
椿	iym_
鹑	iyw_
朐	iyo_
䏝	iyov
抽	iz_
臭	izz_
丑	izv_
愁	izh_
仇	izr_
瞅	izo_
筹	izvc
稠	izhk
酬	izy_
绸	izs_
畴	izt_
畤	iztc
俦	izrc
踌	izzc
瘳	izb_
梼	izmc
椆	izmk
惆	izx_
唱戏	ihxi
馇	iaud
蚩	iiv2
傺	iirx
谄	ijy_
谗	ijyd
逴	iozu
圌	irke
铳	isj_
珫	iswe
嵖	iae_
镲	iaj_
锸	iajj
苴	iacq
檫	iamx
侘	iar_
梌	iamh
蹅	iaz_
耖	icl_
怊	icx_
弨	icg_
槱	icmh
虿	idw_
瘥	idb_
砗	ieu_
㬚	ieo_
龀	ifv_
瞋	ifob
疢	ifbh
梣	ifmv
偁	ifrr
枨	igmi
裎	igp_
珵	igw_
琤	igwl
酲	igyw
宬	igbi
珹	igwi
牚	igxy
赪	igtr
澂	igdw
憕	igxa
惝	ihxk
鬯	ihxb
鲿	ihas
瘛	iibx
魑	iigd
螭	iii_
媸	iin_
眵	iiox
褫	iipj
篪	iivj
彳	iipr
佁	iirk
奓	iidx
胣	iioy
摛	iifd
澶	ijdd
骣	ijmz
羼	ijuy
镡	ijju
巉	ije_
镵	ijjd
冁	ijbn
蒇	ijc_
躔	ijz_
辿	ijze
旵	ijo_
啴	ijk_
瀍	ijdt
搋	ikf_
噇	ilk_
橦	ilml
踔	ioz_
惙	iox_
氚	irq_
堾	irto
茺	isc_
俶	iury
亍	iua_
憷	iuxr
䢺	iuie
柷	iume
䝙	iuvx
摴	iufk
濋	iudr
倕	ivr_
惙	ivx_
莼	iyc_
蝽	iyio
肫	iyot
瑃	iywo
䲠	iya_
杻	izm_
帱	izj_
婤	izn_
犨	izrn
猹	iaq_
𬘭	ifsm
𬊤	ijh_
𬺓	iuvr
𬭚	iyjz
唓	ieki
产品	ip_
成为	iw_
出现	ix_
传统	it_
成本	ib_
承诺	in_
重启	iq_
重码	im_
插拔	iaba
查办	iabj
查表	iabn
插播	iabo
差别	iabp
茶杯	iabw
插槽	iacc
差错	iaco
岔道	iadc
差等	iadg
差点	iadm
查毒	iadu
插队	iadv
差额	iaee
查封	iafg
